trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation
820,G,stimC,fwn1_25,242
821,N,stimD,fwn1_25,167
822,G,stimC,fwn1_25,157
823,N,stimD,fwn1_25,238
824,N,stimD,fwn1_25,224
825,G,stimC,fwn1_25,209
826,N,stimD,fwn1_25,249
827,G,stimC,fwn1_25,180
828,G,stimC,fwn1_25,183
829,N,stimD,fwn1_25,180
830,G,stimC,fwn1_25,162
831,G,stimC,fwn1_25,218
832,G,stimC,fwn1_25,159
833,G,stimC,fwn1_25,188
834,N,stimD,fwn1_25,184
835,N,stimD,fwn1_25,173
836,N,stimD,fwn1_25,194
837,G,stimC,fwn1_25,213
838,N,stimD,fwn1_25,180
839,G,stimC,fwn1_25,233
840,N,stimD,fwn1_25,163
841,G,stimC,fwn1_25,159
842,G,stimC,fwn1_25,181
843,G,stimC,fwn1_25,193
844,N,stimD,fwn1_25,207
845,G,stimC,fwn1_25,236
846,G,stimC,fwn1_25,239
847,N,stimD,fwn1_25,205
848,N,stimD,fwn1_25,175
849,N,stimD,fwn1_25,230
850,N,stimD,fwn1_25,182
851,G,fwn1_25,stimC,238
852,G,fwn1_25,stimC,153
853,N,fwn1_25,stimD,170
854,G,fwn1_25,stimC,212
855,G,fwn1_25,stimC,175
856,N,fwn1_25,stimD,229
857,N,fwn1_25,stimD,233
858,N,fwn1_25,stimD,232
859,G,fwn1_25,stimC,182
860,N,fwn1_25,stimD,178
861,G,fwn1_25,stimC,186
862,G,fwn1_25,stimC,195
863,N,fwn1_25,stimD,233
864,N,fwn1_25,stimD,167
865,N,fwn1_25,stimD,158
866,G,fwn1_25,stimC,242
867,G,fwn1_25,stimC,249
868,N,fwn1_25,stimD,245
869,N,fwn1_25,stimD,196
870,G,fwn1_25,stimC,183
871,G,fwn1_25,stimC,216
872,G,fwn1_25,stimC,209
873,N,fwn1_25,stimD,175
874,G,fwn1_25,stimC,188
875,N,fwn1_25,stimD,196
876,N,fwn1_25,stimD,235
877,G,fwn1_25,stimC,214
878,G,fwn1_25,stimC,231
879,N,fwn1_25,stimD,195
880,N,fwn1_25,stimD,185
881,N,fwn1_25,stimD,165
882,N,fwn1_25,stimD,216
883,N,fwn1_25,stimD,201
884,G,fwn1_25,stimC,250
885,G,fwn1_25,stimC,156
886,G,fwn1_25,stimC,154
887,G,fwn1_25,stimC,179
888,G,fwn1_25,stimC,196
889,N,fwn1_25,stimD,225
890,N,fwn1_25,stimD,202
891,N,fwn1_25,stimD,192
892,N,fwn1_25,stimD,216
893,N,fwn1_25,stimD,155
894,G,fwn1_25,stimC,163
895,N,fwn1_25,stimD,178
896,G,fwn1_25,stimC,186
897,G,fwn1_25,stimC,162
898,N,fwn1_25,stimD,167
899,G,fwn1_25,stimC,211
900,G,fwn1_25,stimC,221
901,N,stimD,fwn1_25,209
902,N,stimD,fwn1_25,241
903,N,stimD,fwn1_25,250
904,G,stimC,fwn1_25,223
905,N,stimD,fwn1_25,248
906,G,stimC,fwn1_25,181
907,G,stimC,fwn1_25,223
908,G,stimC,fwn1_25,215
909,G,stimC,fwn1_25,227
910,N,stimD,fwn1_25,179
911,N,stimD,fwn1_25,172
912,N,stimD,fwn1_25,199
913,N,stimD,fwn1_25,245
914,G,stimC,fwn1_25,242
915,G,stimC,fwn1_25,227
916,G,stimC,fwn1_25,206
917,N,stimD,fwn1_25,249
918,G,stimC,fwn1_25,243
919,G,stimC,fwn1_25,223
920,N,stimD,fwn1_25,199
921,G,stimC,fwn1_25,186
922,N,stimD,fwn1_25,153
923,N,stimD,fwn1_25,223
924,G,stimC,fwn1_25,167
925,G,stimC,fwn1_25,156
926,G,stimC,fwn1_25,198
927,N,stimD,fwn1_25,152
928,G,stimC,fwn1_25,232
929,N,stimD,fwn1_25,224
930,N,stimD,fwn1_25,160
931,N,stimD,fwn1_25,229
932,G,stimC,fwn1_25,168
933,G,stimC,fwn1_25,245
934,N,stimD,fwn1_25,177
935,G,stimC,fwn1_25,221
936,N,stimD,fwn1_25,168
937,G,stimC,fwn1_25,199
938,N,stimD,fwn1_25,220
939,G,stimC,fwn1_25,172
940,N,stimD,fwn1_25,225
941,N,stimD,fwn1_25,248
942,G,stimC,fwn1_25,221
943,N,stimD,fwn1_25,238
944,G,stimC,fwn1_25,199
945,N,stimD,fwn1_25,212
946,G,stimC,fwn1_25,229
947,N,stimD,fwn1_25,179
948,N,stimD,fwn1_25,184
949,G,stimC,fwn1_25,200
950,G,stimC,fwn1_25,190
951,N,fwn1_25,stimD,155
952,G,fwn1_25,stimC,159
953,N,fwn1_25,stimD,228
954,N,fwn1_25,stimD,250
955,N,fwn1_25,stimD,175
956,G,fwn1_25,stimC,250
957,G,fwn1_25,stimC,186
958,G,fwn1_25,stimC,226
959,N,fwn1_25,stimD,191
960,G,fwn1_25,stimC,221
961,N,fwn1_25,stimD,215
962,G,fwn1_25,stimC,173
963,G,fwn1_25,stimC,157
964,N,fwn1_25,stimD,206
965,N,fwn1_25,stimD,222
966,N,fwn1_25,stimD,229
967,N,fwn1_25,stimD,196
968,G,fwn1_25,stimC,237
969,G,fwn1_25,stimC,177
970,G,fwn1_25,stimC,227
971,G,fwn1_25,stimC,217
972,G,fwn1_25,stimC,234
973,N,fwn1_25,stimD,153
974,N,fwn1_25,stimD,218
975,N,fwn1_25,stimD,213
976,G,fwn1_25,stimC,226
977,N,fwn1_25,stimD,152
978,G,fwn1_25,stimC,209
979,N,fwn1_25,stimD,180
980,G,fwn1_25,stimC,186
981,N,fwn1_25,stimD,219
982,N,fwn1_25,stimD,200
983,N,fwn1_25,stimD,214
984,N,fwn1_25,stimD,228
985,G,fwn1_25,stimC,152
986,G,fwn1_25,stimC,210
987,G,fwn1_25,stimC,249
988,G,fwn1_25,stimC,216
989,N,fwn1_25,stimD,203
990,G,fwn1_25,stimC,225
991,N,fwn1_25,stimD,150
992,G,fwn1_25,stimC,246
993,N,fwn1_25,stimD,226
994,N,fwn1_25,stimD,215
995,N,fwn1_25,stimD,203
996,G,fwn1_25,stimC,153
997,G,fwn1_25,stimC,157
998,G,fwn1_25,stimC,176
999,N,fwn1_25,stimD,231
1000,G,fwn1_25,stimC,202
